ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
5/13/2016,70,70-DURANGO,64.6,224,0,0,124,34,2.73,21
5/13/2016,75,75-WEST COMMERCE,962.93,2875,0,0,1846,528,76.85,301
5/13/2016,76,76-OLD HWY. 90 W.,675.31,2221,0,0,1535,362,47.64,212
5/13/2016,77,77-MARTIN ST.,203.08,537,0,0,304,102,8.55,51
5/13/2016,79,79-RUIZ ST.,480.59,1594,0,0,968,250,37.47,140
5/13/2016,82,82-CULEBRA,788.64,2237,0,0,1392,419,29.67,223
5/13/2016,88,88-BANDERA RD.,880.72,2204,0,0,1303,496,48.92,265
5/13/2016,89,89-DONALDSON,306.95,1034,0,0,633,143,16.11,90
5/13/2016,90,90-BABCOCK RD.,416.6,1286,0,0,757,210,34.05,152
5/13/2016,93,93-CROSS./UTSA/P/R EXP.,77.14,424,0,0,245,40,6.61,14
5/13/2016,94,94-FIESTA/UTSA/EXPRESS          ,163.95,545,0,0,315,108,11.81,20
5/13/2016,95,95-Fredericksburg Rd.,262.24,1064,0,0,732,136,11.12,75
5/13/2016,96,96-VANCE JACKSON RD.,680.94,2045,0,0,1323,381,32.76,189
5/13/2016,97,97-WEST AVENUE,520.09,1522,0,0,983,267,20.59,142
5/13/2016,100,100 - PRIMO FREDRICKSBURG RD.,1475.73,5640,0,0,3795,849,88.25,423
5/13/2016,301,301-RED                         ,362.88,475,0,0,171,221,12.51,42
5/13/2016,305,305-BLUE                        ,253.34,426,0,0,238,141,4.13,26
5/13/2016,333,333-E-Route,0,32,0,0,0,0,0,0
